github.com/AlDanial/cloc v 2.06  T=0.34 s (1995.2 files/s, 92485.6 lines/s)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                              blank        comment           code
./deploy/data-seeder/run.sh                                                                                                                                          10              6             47
./frontend/admin/src/pages/contratos/TitulosAReceberDetalhesPage.vue                                                                                                 10              1             47
./backend/notifications/src/main/java/br/com/arenco/notifications/controllers/ArencoMessengerController.java                                                          4              0             46
./backend/libs/sync_lib/src/main/java/br/com/arenco/sync_lib/config/S3AutoConfig.java                                                                                 3              0             45
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/controllers/handlers/ArencoContratoControllerExceptionHandler.java                            6              0             44
./backend/.idea/compiler.xml                                                                                                                                          0              0             43
./backend/arenco-contratos/src/main/java/br/com/arenco/arenco_contratos/services/admin/impl/PaymentSlipSettingsServiceImpl.java                                       7              0             43
./backend/libs/messenger_lib/src/main/java/br/com/arenco/messenger_lib/strategies/impl/SendOtpUsingEmailStrategy.java                                                 5              0             43
./backend/notifications/src/main/java/br/com/arenco/notifications/facades/impl/ArencoMessengerBetaUsersFacadeImpl.java                                                5              0             43
./backend/arenco-autenticacao/src/main/java/br/com/arenco/arenco_autenticacao/controllers/AdminManagementController.java                                              4              0             42
./deploy/contratos/run.sh                                                                                                                                             9              5             42
./backend/libs/arenco-dtos/src/main/java/br/com/arenco/arenco_dtos/utils/ArencoDateUtils.java                                                                         9              2             41
./backend/libs/sync_lib/src/main/java/br/com/arenco/sync_lib/services/impl/S3ServiceImpl.java                                                                         5              0             41
./backend/libs/sync_lib/src/main/java/br/com/arenco/sync_lib/strategies/impl/AbstractBoletoResponseStrategy.java                                                      7              5             41
./backend/libs/sync_lib/src/main/java/br/com/arenco/sync_lib/strategies/impl/GerarPdfBoletoStrategyImpl.java                                                          3              0             41
./backend/libs/sync_lib/src/main/java/br/com/arenco/sync_lib/strategies/impl/GerarPngBoletoStrategyImpl.java                                                          3              0             41
./backend/notifications/src/main/java/br/com/arenco/notifications/controllers/ArencoMessengerSettingsController.java                                                  4              0             41
./frontend/admin/src/pages/contratos/ContratoDetalhesPage.vue                                                                                                        10              1             41
./frontend/admin/src/pages/contratos/TitulosRecebidosDetalhesPage.vue                                                                                                10              1             41
./mobile/arenco-app/android/app/src/main/java/io/flutter/plugins/GeneratedPluginRegistrant.java                                                                       3              5             41
./backend/arenco-data-seeder/src/main/java/br/com/arenco/arenco_data_seeder/strategies/impl/SeedPermissionsStrategyImpl.java                                          9              0             40
./backend/arenco-data-seeder/src/main/java/br/com/arenco/arenco_data_seeder/strategies/impl/SeedUserGroupsStrategyImpl.java                                           9              0             40
./backend/arenco-clientes/src/main/java/br/com/arenco/arenco_clientes/services/users/impl/UserServiceImpl.java                                                        9              7             39
./backend/arenco-clientes/src/main/java/br/com/arenco/arenco_clientes/utils/CnpjFormatter.java                                                                        4              0             38
